asset_uid,asset_name,type,name,label::english (en),label::french (fr),hint::english (en),hint::french (fr),calculation,required,relevant,constraint,default,repeat_count,constraint_message::english (en),constraint_message::french (fr),appearance,choice_filter,parameters,_kuid,_qpath,question_order,_dlt_parent_id
aCdzAaiGS5hAyMukmda6FW,UKR2502_MSNA_2025,start,start,,,,,,,,,,,,,,,,mc6FK3reS,,0,hNTgnRf31uCmvw
aCdzAaiGS5hAyMukmda6FW,UKR2502_MSNA_2025,end,end,,,,,,,,,,,,,,,,G33WfmUVV,,1,hNTgnRf31uCmvw
aCdzAaiGS5hAyMukmda6FW,UKR2502_MSNA_2025,today,today,,,,,,,,,,,,,,,,7ms3VrnHc,,2,hNTgnRf31uCmvw
aCdzAaiGS5hAyMukmda6FW,UKR2502_MSNA_2025,deviceid,deviceid,,,,,,,,,,,,,,,,zy9lxRUbK,,3,hNTgnRf31uCmvw
aCdzAaiGS5hAyMukmda6FW,UKR2502_MSNA_2025,audit,audit,,,,,,,,,,,,,,,track-changes=true,7enb7UAwh,,4,hNTgnRf31uCmvw
aCdzAaiGS5hAyMukmda6FW,UKR2502_MSNA_2025,text,A_0_enumid,,,,,,true,,,,,,,,,,IlyrWKlCD,,5,hNTgnRf31uCmvw
aCdzAaiGS5hAyMukmda6FW,UKR2502_MSNA_2025,text,cati_id,,,,,,true,,,,,,,,,,yupBfbUmV,,6,hNTgnRf31uCmvw
aCdzAaiGS5hAyMukmda6FW,UKR2502_MSNA_2025,select_one consent,A_1_consent,,,,,,true,,,,,,,,,,aEwXWaXTt,,7,hNTgnRf31uCmvw
aCdzAaiGS5hAyMukmda6FW,UKR2502_MSNA_2025,begin_group,consent_ok,,,,,,,"selected(${A_1_consent},'yes')",,,,,,,,,y6bqUaeta,,8,hNTgnRf31uCmvw
aCdzAaiGS5hAyMukmda6FW,UKR2502_MSNA_2025,note,A_2_consent_note,,,,,,false,,,,,,,,,,kxhNT0V8f,,9,hNTgnRf31uCmvw
aCdzAaiGS5hAyMukmda6FW,UKR2502_MSNA_2025,begin_group,location,,,,,,,,,,,,,,,,SGqhd9zjd,,10,hNTgnRf31uCmvw
aCdzAaiGS5hAyMukmda6FW,UKR2502_MSNA_2025,select_one oblast,A_2_1_oblast,,,,,,true,,,,,,,autocomplete,,,jV1sCBYO8,,11,hNTgnRf31uCmvw
aCdzAaiGS5hAyMukmda6FW,UKR2502_MSNA_2025,calculate,A_2_1_1_start_real_time,,,,,once(now()),,${A_2_1_oblast}!='',,,,,,,,,DqmSzze3T,,12,hNTgnRf31uCmvw
aCdzAaiGS5hAyMukmda6FW,UKR2502_MSNA_2025,select_one raion,A_2_2_raion,,,,,,true,"not(selected(${A_2_1_oblast},'oblast_not_in_list'))",,,,,,autocomplete,filter=${A_2_1_oblast},,1Gp0FpqvS,,13,hNTgnRf31uCmvw
aCdzAaiGS5hAyMukmda6FW,UKR2502_MSNA_2025,begin_group,raion_kiis,,,,,,,"not(selected(${A_2_2_raion},'raion_not_in_list')) and not(selected(${A_2_1_oblast},'oblast_not_in_list'))",,,,,,,,,bEnRg9fcz,,14,hNTgnRf31uCmvw
aCdzAaiGS5hAyMukmda6FW,UKR2502_MSNA_2025,select_one hromada,A_2_3_hromada,,,,,,true,,,,,,,autocomplete,filter=${A_2_2_raion},,HINUXAnzP,,15,hNTgnRf31uCmvw
aCdzAaiGS5hAyMukmda6FW,UKR2502_MSNA_2025,select_one_from_file settlement_choices.csv,A_2_4_settlement,,,,,,true,"not(selected(${A_2_3_hromada},'hromada_not_in_list')) and not(selected(${A_2_3_hromada},'prefer_not_to_answer'))",,,,,,autocomplete,filter=${A_2_3_hromada},,cjI6j4ZOr,,16,hNTgnRf31uCmvw
aCdzAaiGS5hAyMukmda6FW,UKR2502_MSNA_2025,calculate,strata_1,,,,,"pulldata('strata','strata_name','ADM4_PCODE',${A_2_4_settlement})",,,,,,,,,,,UMdUDXaYc,,17,hNTgnRf31uCmvw
aCdzAaiGS5hAyMukmda6FW,UKR2502_MSNA_2025,end_group,raion_kiis,,,,,,,,,,,,,,,,Sir3hgVjh,,18,hNTgnRf31uCmvw
aCdzAaiGS5hAyMukmda6FW,UKR2502_MSNA_2025,end_group,location,,,,,,,,,,,,,,,,jYLRmHfvM,,19,hNTgnRf31uCmvw
aCdzAaiGS5hAyMukmda6FW,UKR2502_MSNA_2025,begin_group,location_ok,,,,,,,"not(selected(${A_2_1_oblast}, 'oblast_not_in_list') or selected(${A_2_2_raion}, 'raion_not_in_list') or selected(${A_2_3_hromada}, 'hromada_not_in_list') or selected(${A_2_4_settlement}, 'settlement_not_in_list'))
and 
(${A_2_1_oblast} != '' and ${A_2_2_raion} != '' and ${A_2_3_hromada} != '' and ${A_2_4_settlement} != '')",,,,,,,,,Fe7JJE7oR,,20,hNTgnRf31uCmvw
aCdzAaiGS5hAyMukmda6FW,UKR2502_MSNA_2025,select_one lang_standard,A_3_lang_standard,,,,,,true,,,,,,,,,,nXVtQptCe,,21,hNTgnRf31uCmvw
aCdzAaiGS5hAyMukmda6FW,UKR2502_MSNA_2025,text,A_3_1_lang_standard_other,,,,,,true,"selected(${A_3_lang_standard}, 'other')","not(regex(., '.*\d.*'))",,,,,,,,A1G3lgs5R,,22,hNTgnRf31uCmvw
aCdzAaiGS5hAyMukmda6FW,UKR2502_MSNA_2025,select_one lang_other,A_4_lang_other,,,,,,true,"selected(${A_3_lang_standard}, 'other')",,,,,,,,,Uu1gT7fgr,,23,hNTgnRf31uCmvw
aCdzAaiGS5hAyMukmda6FW,UKR2502_MSNA_2025,begin_group,language_ok,,,,,,,"selected(${A_3_lang_standard},'ukrainian') or selected(${A_3_lang_standard},'russian') or selected(${A_4_lang_other},'yes_in_ukrainian') or selected(${A_4_lang_other},'yes_in_russian')",,,,,,,,,BaYPVxASh,,24,hNTgnRf31uCmvw
aCdzAaiGS5hAyMukmda6FW,UKR2502_MSNA_2025,integer,A_5_resp_age,,,,,,true,,.>1 and .<=120,,,,,,,,cvFiLADaT,,25,hNTgnRf31uCmvw
aCdzAaiGS5hAyMukmda6FW,UKR2502_MSNA_2025,begin_group,age_ok,,,,,,,${A_5_resp_age} > 17,,,,,,,,,V7XbzlBYs,,26,hNTgnRf31uCmvw
aCdzAaiGS5hAyMukmda6FW,UKR2502_MSNA_2025,select_one yes_no,A_6_resp_hoh,,,,,,true,,,,,,,,,,fsjkT4UCz,,27,hNTgnRf31uCmvw
aCdzAaiGS5hAyMukmda6FW,UKR2502_MSNA_2025,select_one yes_no,A_7_resp_hoh_behalf,,,,,,true,"not(selected(${A_6_resp_hoh},'yes') or selected(${A_6_resp_hoh},''))",,,,,,,,,tF1rozg9a,,28,hNTgnRf31uCmvw
aCdzAaiGS5hAyMukmda6FW,UKR2502_MSNA_2025,begin_group,hohh_ok,,,,,,,"selected(${A_6_resp_hoh},'yes') or selected(${A_7_resp_hoh_behalf},'yes')",,,,,,,,,IojZG37cP,,29,hNTgnRf31uCmvw
aCdzAaiGS5hAyMukmda6FW,UKR2502_MSNA_2025,begin_group,group_demography,,,,,,,,,,,,,,,,FWrzCBUuq,,30,hNTgnRf31uCmvw
aCdzAaiGS5hAyMukmda6FW,UKR2502_MSNA_2025,note,B_1_dem_intro,,,,,,false,,,,,,,,,,0BWWjFWNX,,31,hNTgnRf31uCmvw
aCdzAaiGS5hAyMukmda6FW,UKR2502_MSNA_2025,select_one child_outside_hh,B_38_child_outside_hh,,,,,,true,,,,,,,,,,GtoO2oHdy,,32,hNTgnRf31uCmvw
aCdzAaiGS5hAyMukmda6FW,UKR2502_MSNA_2025,select_multiple child_outside_reason,B_39_child_outside_reason,,,,,,true,"selected(${B_38_child_outside_hh}, 'yes')","not((selected(.,'do_not_know') or selected(.,'prefer_not_to_answer')) and (count-selected(.)>1))",,,,,,,,VzgOvRc0J,,33,hNTgnRf31uCmvw
aCdzAaiGS5hAyMukmda6FW,UKR2502_MSNA_2025,text,B_39_1_child_outside_reason_other,,,,,,true,"selected(${B_39_child_outside_reason}, 'other')",,,,,,,,,I0cHBbB4s,,34,hNTgnRf31uCmvw
aCdzAaiGS5hAyMukmda6FW,UKR2502_MSNA_2025,integer,B_2_hh_size,,,,,,true,,.>0 and .<20,,,,,,,,gliP4fmE9,,35,hNTgnRf31uCmvw
aCdzAaiGS5hAyMukmda6FW,UKR2502_MSNA_2025,begin_repeat,individual_loop,,,,,,,,,,${B_2_hh_size},,,,,,zXvfzR0uA,,36,hNTgnRf31uCmvw
aCdzAaiGS5hAyMukmda6FW,UKR2502_MSNA_2025,select_one yes_no,B_0_mem_respondent,,,,,,,,"if(position(..) = 1, . = 'yes', . = 'no')",,,,,,,,LugOG2ZQG,,37,hNTgnRf31uCmvw
aCdzAaiGS5hAyMukmda6FW,UKR2502_MSNA_2025,calculate,calc_loop_index,,,,,position(..),,,,,,,,,,,X8fKTPOQo,,38,hNTgnRf31uCmvw
aCdzAaiGS5hAyMukmda6FW,UKR2502_MSNA_2025,calculate,B_4_en,,,,,"if(selected(${B_0_mem_respondent}, 'yes'), concat(""We are now going to ask some questions about you.""), ""We are now going to ask some questions about the other household members. Please answer the questions starting with the youngest member and ending with the oldest member."")",,,,,,,,,,,IsZhmlbkx,,39,hNTgnRf31uCmvw
aCdzAaiGS5hAyMukmda6FW,UKR2502_MSNA_2025,calculate,B_4_ua,,,,,"if(selected(${B_0_mem_respondent}, 'yes'), concat(""Далі ми поставимо кілька запитань про Вас""), ""Зараз ми поставимо кілька запитань про інших членів сім'ї. Будь ласка, відповідайте на запитання, починаючи з наймолодшого члена сім'ї і закінчуючи найстаршим."")",,,,,,,,,,,99m4s04iD,,40,hNTgnRf31uCmvw
aCdzAaiGS5hAyMukmda6FW,UKR2502_MSNA_2025,calculate,B_4_ru,,,,,"if(selected(${B_0_mem_respondent}, 'yes'), concat(""Далее мы зададим несколько вопросов о Вас""), ""Сейчас мы зададим несколько вопросов о других членах семьи. Пожалуйста, ответьте на вопросы, начиная с самого младшего члена семьи и заканчивая самым старшим."")",,,,,,,,,,,PsU6xKbrm,,41,hNTgnRf31uCmvw
aCdzAaiGS5hAyMukmda6FW,UKR2502_MSNA_2025,note,B_4_dem_memebers_intro,,,,,,false,${B_2_hh_size} > 1,,,,,,,,,ehHwO7SI3,,42,hNTgnRf31uCmvw
aCdzAaiGS5hAyMukmda6FW,UKR2502_MSNA_2025,calculate,mem_respondent,,,,,"if(selected(${B_0_mem_respondent},'yes'),1,0)",,,,,,,,,,,OvRnDA0n6,,43,hNTgnRf31uCmvw
aCdzAaiGS5hAyMukmda6FW,UKR2502_MSNA_2025,calculate,B_5_en,,,,,"if(selected(${B_0_mem_respondent},'yes'),concat(""Your age is "",${A_5_resp_age},"", right?""),""What is the age of the household member?"")",,,,,,,,,,,uZSU1zXEQ,,44,hNTgnRf31uCmvw
aCdzAaiGS5hAyMukmda6FW,UKR2502_MSNA_2025,calculate,B_5_ua,,,,,"if(selected(${B_0_mem_respondent},'yes'),concat(""Ваш вік "",${A_5_resp_age},"" років, правильно?""),""Який вік цього члена домогосподарства?"")",,,,,,,,,,,CbOhVGqxO,,45,hNTgnRf31uCmvw
aCdzAaiGS5hAyMukmda6FW,UKR2502_MSNA_2025,calculate,B_5_ru,,,,,"if(selected(${B_0_mem_respondent},'yes'),concat(""Ваш возраст "",${A_5_resp_age},"" лет, верно?""),""Каков возраст этого члена домохозяйства?"")",,,,,,,,,,,M9JuO7ffW,,46,hNTgnRf31uCmvw
aCdzAaiGS5hAyMukmda6FW,UKR2502_MSNA_2025,integer,B_5_hh_mem_age,,,,,"once(if(selected(${B_0_mem_respondent},'yes'),${A_5_resp_age},''))",true,,"if(position(..)=1,.=${A_5_resp_age},.<=120)",,,,,,,,ULLj9ntb1,,47,hNTgnRf31uCmvw
aCdzAaiGS5hAyMukmda6FW,UKR2502_MSNA_2025,integer,B_6_infant_age,,,,,,true,${B_5_hh_mem_age}=0,.<12,,,,,,,,LYHMGOj5X,,48,hNTgnRf31uCmvw
aCdzAaiGS5hAyMukmda6FW,UKR2502_MSNA_2025,calculate,less_than_18,,,,,"if(${B_5_hh_mem_age}<18,1,0)",,,,,,,,,,,02juBe8e9,,49,hNTgnRf31uCmvw
